τ,Coverage,Accuracy,F1 (binary),Recall,Abstained,n_predicted
0.5,1.0,0.6826364415658634,0.23717948717948717,0.5493107104984093,0.0,10499
0.55,0.7249261834460424,0.7265799500722638,0.26492405510420347,0.5664652567975831,0.2750738165539576,7611
0.6,0.4627107343556529,0.7624536846438864,0.3056558363417569,0.6018957345971564,0.5372892656443471,4858
0.65,0.2541194399466616,0.7766116941529235,0.35913978494623655,0.6872427983539094,0.7458805600533385,2668
0.7,0.11858272216401562,0.7775100401606426,0.4335378323108384,0.803030303030303,0.8814172778359843,1245
0.75,0.04838556052957425,0.7874015748031497,0.5135135135135135,0.9047619047619048,0.9516144394704258,508
0.8,0.01628726545385275,0.8713450292397661,0.5769230769230769,0.8823529411764706,0.9837127345461473,171
0.85,0.006953043146966377,0.9452054794520548,0.8,0.8888888888888888,0.9930469568530336,73
0.9,0.001238213163158396,1.0,1.0,1.0,0.9987617868368416,13
