Model,Accuracy,Precision,Recall,F1 (binary),F1 (macro),ROC-AUC
Logistic Regression,0.6268216020573388,0.1287746443723484,0.5471898197242842,0.2084848484848485,0.482171138100849,0.6296855018161625
Random Forest,0.9043718449376131,0.3057324840764331,0.05090137857900318,0.08727272727272728,0.5184076974387559,0.6509881806281619
XGBoost,0.6826364415658634,0.15124087591240876,0.5493107104984093,0.23717948717948717,0.5184093467166228,0.6680998474361324
